x,y
HH,507.39155483106697,191.07376339275345
20,1631.9499999999998,930.76
21,768.43,933.44
22,1519.626215416556,1174.4861514903662
30,680.3963434189574,790.8863790086139
31,1493.8187641377726,1415.114469700308
32,755.5799999999999,1078.16
33,300.69,989.72
34,802.7533929816675,701.2830233073778
35,686.1899999999999,204.48
36,1297.85,1469.44
37,954.7413603476174,1210.9480018608683
38,1719.997757646775,1567.8693701062464
39,1557.4199999999998,764.5999999999999
40,1017.72,1177.32
41,1508.59,1627.56
42,1341.54,721.72
43,457.46,429.5999999999999
44,1647.7790126109671,1131.2628359231255
45,1110.24,1632.92
46,478.02,1145.16
47,362.7218639111269,367.9562838190191
48,1382.66,1180.0
49,1120.52,1726.72
50,411.2,22.23999999999978
51,277.56,606.48
52,1395.51,930.76
53,637.36,432.28
54,1405.79,877.16
55,1389.161518419533,1763.43893283552
56,662.0384044442961,702.2195975613733
57,932.91,367.9599999999998
58,561.9313615163243,1364.854461431971
59,1083.1950649788746,334.9829008102204
60,1216.3390832519858,561.0453125440235
61,249.32885883506356,719.3905303589894
62,890.9442674300841,806.7065920643759
63,1205.8210080463855,861.0062972314954
64,1143.65,1287.2
65,1380.09,558.24
66,489.6624583048001,1481.3157679687026
67,935.48,1013.84
68,1079.4,700.28
70,305.83,183.04
71,1255.7276012119341,1231.1224207196253
72,1363.848275017791,1096.1036001962718
73,950.0278909707839,675.6218670811709
74,737.6852672281028,1644.701400248108
80,1045.99,609.1599999999999
81,358.78620922655125,591.7786764201594
82,1195.05,1027.24
83,503.72,593.0799999999999
84,1310.6999999999998,831.5999999999999
90,174.76,311.67999999999984
91,1179.63,1228.24
92,1049.6210168139582,1340.3741909652551
93,1153.9299999999998,1477.48
100,786.42,1220.1999999999998
101,1874.9920275393129,1200.808459443392
102,1536.86,1740.12
120,115.65,459.0799999999999
